x: 450.00, y: 350.00, theta: 1.57 
x: 447.81, y: 370.79, theta: 1.78 
x: 441.35, y: 390.67, theta: 1.99 
x: 430.90, y: 408.78, theta: 2.20 
x: 416.91, y: 424.31, theta: 2.41 
x: 400.00, y: 436.60, theta: 2.62 
x: 380.90, y: 445.11, theta: 2.83 
x: 360.45, y: 449.45, theta: 3.04 
x: 339.55, y: 449.45, theta: 3.25 
x: 319.10, y: 445.11, theta: 3.46 
x: 300.00, y: 436.60, theta: 3.67 
x: 283.09, y: 424.31, theta: 3.87 
x: 269.10, y: 408.78, theta: 4.08 
x: 258.65, y: 390.67, theta: 4.29 
x: 252.19, y: 370.79, theta: 4.50 
x: 250.00, y: 350.00, theta: 4.71 
x: 252.19, y: 329.21, theta: 4.92 
x: 258.65, y: 309.33, theta: 5.13 
x: 269.10, y: 291.22, theta: 5.34 
x: 283.09, y: 275.69, theta: 5.55 
x: 300.00, y: 263.40, theta: 5.76 
x: 319.10, y: 254.89, theta: 5.97 
x: 339.55, y: 250.55, theta: 6.18 
x: 360.45, y: 250.55, theta: 6.39 
x: 380.90, y: 254.89, theta: 6.60 
x: 400.00, y: 263.40, theta: 6.81 
x: 416.91, y: 275.69, theta: 7.02 
x: 430.90, y: 291.22, theta: 7.23 
x: 441.35, y: 309.33, theta: 7.44 
x: 447.81, y: 329.21, theta: 7.64 
